QCSD,Q Cinemas: Shahdara,,DELHI,Delhi,28.675,77.2883,Y,VS,N,N,Y,AC,Y,false,false,false,2018-10-29 19:15:00
RNMT,"MSX Silvercity,Haldiram Citymall Sec12: Faridabad",,FARI,Faridabad,28.3835,77.3143,Y,VS,N,N,Y,,Y,false,false,false,2018-10-29 19:15:00
SCGZ,Silvercity Multiplex: Ghaziabad,,GHAZ,Ghaziabad,28.6389,77.4557,Y,VS,N,N,Y,,Y,false,false,false,2018-10-29 19:15:00
SCJN,INOX: Janak Place,,DELHI,Delhi,28.6298,77.0808,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SCND,INOX: Nehru Place,,DELHI,Delhi,28.5505,77.2511,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SCPT,INOX: Patel Nagar,,DELHI,Delhi,28.6508,77.1578,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SPIA,Spice Cinemas: Noida,,NOIDA,Noida,28.5867,77.3411,Y,VS,N,N,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SRAM,SRS Aditya Mall: Indirapuram Ghaziabad,,GHAZ,Ghaziabad,28.6381,77.3603,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SREF,"SRS Eldeco Mall: Sector 12, Faridabad",,FARI,Faridabad,28.3867,77.3141,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SRFD,"SRS Mall: Sector 12, Faridabad",,FARI,Faridabad,28.3863,77.317,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SRGN,"SRS Cinemas: Omaxe Gurgaon Mall, Sector 49",,GURG,Gurugram (Gurgaon),28.4106,77.0432,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SRJM,"SRS Jaipuria Mall: Indirapuram, Ghaziabad",,GHAZ,Ghaziabad,28.6397,77.3782,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SRPR,"SRS: Pristine Mall, Sector 31",,FARI,Faridabad,28.4454,77.3157,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SRST,"SRS Shubham Tower: NIT, Faridabad",,FARI,Faridabad,28.3904,77.3067,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
SRWG,"SRS Celebration Mall: Sohna Road, Gurgaon",,GURG,Gurugram (Gurgaon),28.4274,77.036,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
STAX,Star X Cinema: Vaishali,,GHAZ,Ghaziabad,28.6428,77.3408,Y,VS,N,N,Y,AC,Y,false,false,false,2018-10-29 19:15:00
USCG,U S Cinemas: Eros Mall Indirapuram,,GHAZ,Ghaziabad,28.6468,77.3753,Y,VS,N,Y,Y,I,Y,true,false,false,2018-10-29 19:15:00
WVKS,"Wave: The Wave Mall, Kaushambi",,GHAZ,Ghaziabad,28.645,77.3261,Y,VS,N,Y,Y,,Y,true,false,false,2018-10-29 19:15:00
WVND,Wave: Noida,,NOIDA,Noida,28.5679,77.323,Y,VS,N,Y,Y,,Y,true,false,false,2018-10-29 19:15:00
WVRG,Wave: Raja Garden,,DELHI,Delhi,28.6519,77.1208,Y,VS,N,Y,Y,,Y,true,false,false,2018-10-29 19:15:00
WVRN,"Wave: RDC, Ghaziabad",,GHAZ,Ghaziabad,28.675,77.4411,Y,VS,N,Y,Y,,Y,true,false,false,2018-10-29 19:15:00
